Season,Start_Date,End_Date,Treatment,Plot,Depth,Avg_Temperature
spring,2024-03-18,2024-04-29,C,1,0.5 cm,23.76
spring,2024-03-18,2024-04-29,H,2,0.5 cm,25.371
spring,2024-03-18,2024-04-29,C,3,0.5 cm,23.704
spring,2024-03-18,2024-04-29,H,4,0.5 cm,25.437
spring,2024-03-18,2024-04-29,C,5,0.5 cm,23.735
spring,2024-03-18,2024-04-29,H,6,0.5 cm,24.084
summer,2024-06-15,2024-08-02,C,1,0.5 cm,26.169
summer,2024-06-15,2024-08-02,H,2,0.5 cm,26.379
summer,2024-06-15,2024-08-02,C,3,0.5 cm,26.192
summer,2024-06-15,2024-08-02,H,4,0.5 cm,27.055
summer,2024-06-15,2024-08-02,C,5,0.5 cm,26.112
summer,2024-06-15,2024-08-02,H,6,0.5 cm,27.405
